3|318|7|4|100
3|315|7|1|100
3|316|7|2|100
3|317|7|3|100
3|319|7|4|200
3|320|7|5|100
3|321|7|6|100
3|322|7|7|100
3|323|7|8|100
3|324|7|9|200
3|325|7|10|100
3|326|7|11|100
3|327|7|12|200
3|328|7|13|100
3|329|7|14|100
3|330|7|15|200
3|331|7|16|100
3|332|7|17|100
3|333|7|18|200
3|334|7|19|100
3|335|7|20|100
3|336|7|21|200
3|337|7|22|100
3|338|7|23|100
3|339|7|24|200
3|340|7|25|100
3|341|7|26|100
3|342|7|27|100
3|343|7|28|100
3|344|7|29|200
3|345|7|30|100
3|346|7|31|100
3|347|7|32|100
3|348|7|33|100
3|349|7|34|200
3|350|7|35|100
3|351|7|36|100
3|352|7|37|200
3|353|7|38|100
3|354|7|39|100
3|355|7|40|200
3|356|7|41|100
3|357|7|42|100
3|358|7|43|200
3|359|7|44|100
3|360|7|45|100
3|361|7|46|200
3|362|7|47|100
3|363|7|48|100
3|364|7|49|200
3|365|7|50|100
3|366|7|52|100
3|367|7|51|100
3|368|7|53|100
3|369|7|54|200
3|370|7|55|100
3|371|7|56|100
3|372|7|57|100
3|373|7|58|100
3|374|7|59|200
3|375|7|60|100
3|376|7|61|100
3|377|7|62|200
3|378|7|63|100
3|379|7|64|100
3|380|7|66|100
3|381|7|65|200
3|382|7|67|100
3|383|7|68|200
3|384|7|69|100
3|385|7|70|100
3|386|7|71|200
3|387|7|72|100
3|388|7|73|100
3|389|7|74|200
3|390|7|75|100
3|391|7|76|100
3|392|7|77|100
3|393|7|78|100
3|394|7|79|200
3|395|7|80|100
3|396|7|81|100
3|397|7|82|100
3|398|7|83|100
3|399|7|84|200
3|400|7|85|100
3|401|7|86|100
3|402|7|87|200
3|403|7|88|100
3|404|7|89|100
3|405|7|90|200
3|406|7|91|100
3|407|7|92|100
3|408|7|93|200
3|409|7|94|100
3|410|7|95|100
3|411|7|96|200
3|412|7|97|100
3|413|7|98|100
3|414|7|99|200
3|415|7|100|100
3|416|7|101|100
3|417|7|102|100
3|418|7|103|100
3|419|7|104|200
3|420|7|105|100
3|421|7|106|100
3|422|7|107|100
3|423|7|108|100
3|424|7|109|200
3|425|7|110|100
3|426|7|111|100
3|427|7|112|200
3|428|7|113|100
3|429|7|114|100
3|430|7|115|200
3|431|7|116|100
3|432|7|117|100
